,Date,Type,Name,Lot,Brand,Batch,Changes,Amount,Units,Cost,Subset,Brew Process,Date Received,Amounts,Volume (L)
0,2022-08-17,Adjuncts,Fermcap AT Antifoam,4039804,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.01,L,($0.46),2.0,Boil Adjuncts,12/7/2021,0.01,250.00
1,2022-08-17,Adjuncts,CaCl2 (Calcium Chloride),CRE-19CCF030,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.046,KG,($0.58),2.0,Kettle Finings,8/9/2021,0.046,250.00
2,2022-08-17,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.021,KG,($0.25),2.0,Kettle Finings,8/9/2021,0.021,250.00
3,2022-08-17,Adjuncts,MgSO4,82094,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.023,KG,($0.33),2.0,Kettle Finings,14/10/2020,0.023,250.00
4,2022-08-17,Adjuncts,ZnSO4 (Zinc Sulfate),ENZ10032,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.0005,L,($0.02),2.0,Kettle Finings,15/02/2022,0.0005,250.00
5,2022-08-17,Hops,SLO Styrian Goldings,21045,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.3,KG,($14.23),2.0,Boil Hops,8/8/2022,0.3,250.00
6,2022-08-17,Hops,SLO Styrian Goldings,21045,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.1,KG,($4.74),2.0,Whirlpool Hops,8/8/2022,0.1,250.00
7,2022-08-17,Adjuncts,TROPICO Blood Orange Concentrate 45 Brix TBLDCB,2111152P,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-20.0,KG,($302),2.0,Whirlpool,16/08/2022,20.0,250.00
8,2022-08-17,Adjuncts,TROPICO Pineapple Juice Box TPINB,2202071A,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-21.0,KG,($107.52),2.0,Whirlpool,16/08/2022,21.0,250.00
9,2022-08-17,Adjuncts,Safale BE-134 500g,75813,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.5,Each,($66.43),2.0,Boil Adjuncts,8/8/2022,0.5,250.00
10,2022-08-17,Grain,WEY Munich II,W322,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-12.5,KG,($30.66),2.0,"Mash In, Grain",5/7/2022,12.5,250.00
11,2022-08-17,Grain,WEY Pilsner,W347,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-12.5,KG,($29.73),2.0,"Mash In, Grain",5/7/2022,12.5,250.00
13,2022-08-17,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.022,KG,($0.26),2.0,"Mash In, Water Additives",8/9/2021,0.022,250.00
15,2022-08-17,Adjuncts,Bioglucanase,21042020,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.01,L,($0.59),2.0,"Mash In, Water Additives",14/10/2020,0.01,250.00
17,2022-08-17,Grain,WEY Pilsner,W347,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-37.5,KG,($98.12),2.0,"Mash In, Grain",8/8/2022,37.5,250.00
19,2022-08-17,Grain,WEY Wheat,W336,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-12.5,KG,($32.54),2.0,"Mash In, Grain",8/8/2022,12.5,250.00
20,2022-08-16,Adjuncts,Fermcap AT Antifoam,19F081,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.01,L,$0 ,1.0,Boil Adjuncts,13/01/2021,0.01,250.00
21,2022-08-16,Adjuncts,CaCl2 (Calcium Chloride),CRE-19CCF030,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.046,KG,($0.58),1.0,Kettle Finings,8/9/2021,0.046,250.00
22,2022-08-16,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.021,KG,($0.25),1.0,Kettle Finings,8/9/2021,0.021,250.00
23,2022-08-16,Adjuncts,MgSO4,82094,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.023,KG,($0.33),1.0,Kettle Finings,14/10/2020,0.023,250.00
24,2022-08-16,Adjuncts,ZnSO4 (Zinc Sulfate),ENZ10032,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.0005,L,($0.02),1.0,Kettle Finings,15/02/2022,0.0005,250.00
25,2022-08-16,Adjuncts,Safale BE-134 500g,75813,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.5,Each,($66.43),1.0,Boil Adjuncts,8/8/2022,0.5,250.00
26,2022-08-16,Hops,SLO Styrian Goldings,21045,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.3,KG,($14.23),1.0,Boil Hops,8/8/2022,0.3,250.00
27,2022-08-16,Hops,SLO Styrian Goldings,21045,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.1,KG,($4.74),1.0,Whirlpool Hops,8/8/2022,0.1,250.00
28,2022-08-16,Adjuncts,TROPICO Blood Orange Concentrate 45 Brix TBLDCB,2111152P,,,Add,20.0,KG,$302 ,,,,20.0,
29,2022-08-16,Adjuncts,TROPICO Pineapple Juice Box TPINB,2202071A,,,Add,21.0,KG,$107.52 ,,,,21.0,
30,2022-08-16,Adjuncts,CaCl2 (Calcium Chloride),CRE-19CCF030,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.049,KG,($0.62),1.0,"Mash In, Water Additives",8/9/2021,0.049,250.00
31,2022-08-16,Adjuncts,CaSO4 (Calcium Sulfate),20200420D1,Froth Rookies/Brewdog Super Goed Bier (250.00),16/08/2022,Subtract,-0.022,KG,($0.26),1.0,"Mash In, Water Additives",8/9/2021,0.022,250.00
